date,message,riddle,yesterdayriddleanswer
1,"Your smile can brighten anyone's day!","What has keys, but no locks; space, but no room; you can enter, but not go in?",
2,"You are capable of amazing things!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A keyboard"
3,"Today is full of endless possibilities!","What gets wet while drying?","A map"
4,"You make the world a better place just by being you!","I'm tall when I'm young, and I'm short when I'm old. What am I?","A towel"
5,"Your kindness matters more than you know!","What has a head and a tail that are only made of letters?","A candle"
6,"Believe in yourself – you've got this!","I have branches, but no fruit, trunk or leaves. What am I?","A coin"
7,"Your positive attitude is contagious!","What building has the most stories?","A bank"
8,"You have the power to create change!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A library"
9,"Your efforts are making a difference!","What has a neck but no head?","Fire"
10,"You are stronger than you think!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A bottle"
11,"Your potential is limitless!","What has many keys but no locks?","Fire"
12,"You bring joy to those around you!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A piano"
13,"Your hard work will pay off!","What goes up but never comes down?","A map"
14,"You are worthy of great things!","I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?","Age"
15,"Your uniqueness is your strength!","What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?","Echo"
16,"You have the courage to overcome any obstacle!","What can travel around the world while staying in a corner?","A mountain"
17,"Your creativity knows no bounds!","I have keys, but no locks. I have space, but no room. You can enter, but can't go in. What am I?","A stamp"
18,"You inspire others more than you realize!","What has a head and a tail that are only made of letters?","A keyboard"
19,"Your determination is admirable!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A coin"
20,"You have a heart of gold!","What building has the most stories?","Fire"
21,"Your resilience is remarkable!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A library"
22,"You are making progress every day!","What gets wetter as it dries?","Fire"
23,"Your presence makes a positive difference!","I have keys, but no locks; I have space, but no room; you can enter, but not go in. What am I?","A towel"
24,"You have the power to achieve your dreams!","What has many keys, but no locks; space, but no room; you can enter, but not go in?","A keyboard"
25,"Your optimism is refreshing!","I'm tall when I'm young, and I'm short when I'm old. What am I?","A map"
26,"You are capable of overcoming any challenge!","What has a head and a tail that are only made of letters?","A candle"
27,"Your enthusiasm is contagious!","I have branches, but no fruit, trunk or leaves. What am I?","A coin"
28,"You have a bright future ahead!","What building has the most stories?","A bank"
29,"Your perseverance is inspiring!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A library"
30,"You are making the world a better place!","What has a neck but no head?","Fire"
